Price_Date,States,Commodity,Price
01-Jun-20,Delhi,Mango,4375.00
01-Jun-20,Delhi,Mango,4750.00
30-May-20,Delhi,Mango,3667.00
30-May-20,Delhi,Mango,2467.00
30-May-20,Delhi,Mango,4625.00
29-May-20,Delhi,Mango,4229.00
29-May-20,Delhi,Mango,4000.00
29-May-20,Delhi,Mango,2467.00
29-May-20,Delhi,Mango,4875.00
28-May-20,Delhi,Mango,4257.00
28-May-20,Delhi,Mango,4000.00
28-May-20,Delhi,Mango,2467.00
28-May-20,Delhi,Mango,5325.00
27-May-20,Delhi,Mango,4257.00
27-May-20,Delhi,Mango,4000.00
27-May-20,Delhi,Mango,2467.00
27-May-20,Delhi,Mango,5325.00
26-May-20,Delhi,Mango,4132.00
26-May-20,Delhi,Mango,4000.00
26-May-20,Delhi,Mango,2383.00
26-May-20,Delhi,Mango,6250.00
25-May-20,Delhi,Mango,4104.00
25-May-20,Delhi,Mango,4000.00
25-May-20,Delhi,Mango,2383.00
25-May-20,Delhi,Mango,6500.00
23-May-20,Delhi,Mango,4104.00
23-May-20,Delhi,Mango,4000.00
23-May-20,Delhi,Mango,2383.00
23-May-20,Delhi,Mango,6500.00
22-May-20,Delhi,Mango,4104.00
22-May-20,Delhi,Mango,4000.00
22-May-20,Delhi,Mango,2383.00
22-May-20,Delhi,Mango,6500.00
21-May-20,Delhi,Mango,4104.00
21-May-20,Delhi,Mango,4000.00
21-May-20,Delhi,Mango,1767.00
21-May-20,Delhi,Mango,6750.00
20-May-20,Delhi,Mango,3770.00
20-May-20,Delhi,Mango,3833.00
20-May-20,Delhi,Mango,1767.00
20-May-20,Delhi,Mango,6250.00
19-May-20,Delhi,Mango,3770.00
19-May-20,Delhi,Mango,3833.00
19-May-20,Delhi,Mango,1767.00
19-May-20,Delhi,Mango,6250.00
18-May-20,Delhi,Mango,3770.00
18-May-20,Delhi,Mango,3833.00
18-May-20,Delhi,Mango,1767.00
16-May-20,Delhi,Mango,3711.00
16-May-20,Delhi,Mango,3833.00
16-May-20,Delhi,Mango,1767.00
15-May-20,Delhi,Mango,3612.00
15-May-20,Delhi,Mango,3667.00
15-May-20,Delhi,Mango,1767.00
14-May-20,Delhi,Mango,3586.00
14-May-20,Delhi,Mango,3667.00
14-May-20,Delhi,Mango,1767.00
13-May-20,Delhi,Mango,3586.00
13-May-20,Delhi,Mango,3667.00
13-May-20,Delhi,Mango,1767.00
12-May-20,Delhi,Mango,3610.00
12-May-20,Delhi,Mango,3667.00
12-May-20,Delhi,Mango,1767.00
11-May-20,Delhi,Mango,3657.00
11-May-20,Delhi,Mango,3667.00
11-May-20,Delhi,Mango,2100.00
09-May-20,Delhi,Mango,3877.00
09-May-20,Delhi,Mango,3667.00
09-May-20,Delhi,Mango,2100.00
08-May-20,Delhi,Mango,4113.00
08-May-20,Delhi,Mango,3667.00
08-May-20,Delhi,Mango,2333.00
07-May-20,Delhi,Mango,4149.00
07-May-20,Delhi,Mango,3667.00
07-May-20,Delhi,Mango,2333.00
06-May-20,Delhi,Mango,4528.00
06-May-20,Delhi,Mango,3667.00
05-May-20,Delhi,Mango,4906.00
05-May-20,Delhi,Mango,3667.00
04-May-20,Delhi,Mango,4906.00
04-May-20,Delhi,Mango,3667.00
02-May-20,Delhi,Mango,4889.00
02-May-20,Delhi,Mango,5500.00
01-May-20,Delhi,Mango,4944.00
01-May-20,Delhi,Mango,5500.00
30-Apr-20,Delhi,Mango,4944.00
30-Apr-20,Delhi,Mango,5500.00
29-Apr-20,Delhi,Mango,4583.00
29-Apr-20,Delhi,Mango,5500.00
28-Apr-20,Delhi,Mango,5156.00
28-Apr-20,Delhi,Mango,5500.00
28-Apr-20,Delhi,Mango,2292.00
27-Apr-20,Delhi,Mango,5156.00
27-Apr-20,Delhi,Mango,6167.00
27-Apr-20,Delhi,Mango,2292.00
25-Apr-20,Delhi,Mango,5156.00
25-Apr-20,Delhi,Mango,6167.00
25-Apr-20,Delhi,Mango,2292.00
24-Apr-20,Delhi,Mango,5156.00
24-Apr-20,Delhi,Mango,6167.00
24-Apr-20,Delhi,Mango,2292.00
23-Apr-20,Delhi,Mango,5260.00
23-Apr-20,Delhi,Mango,6167.00
23-Apr-20,Delhi,Mango,2292.00
22-Apr-20,Delhi,Mango,5260.00
22-Apr-20,Delhi,Mango,6167.00
22-Apr-20,Delhi,Mango,2292.00
21-Apr-20,Delhi,Mango,5153.00
21-Apr-20,Delhi,Mango,6167.00
21-Apr-20,Delhi,Mango,2292.00
20-Apr-20,Delhi,Mango,5042.00
20-Apr-20,Delhi,Mango,6167.00
20-Apr-20,Delhi,Mango,2292.00
18-Apr-20,Delhi,Mango,5042.00
18-Apr-20,Delhi,Mango,6167.00
18-Apr-20,Delhi,Mango,2292.00
17-Apr-20,Delhi,Mango,4792.00
17-Apr-20,Delhi,Mango,6000.00
17-Apr-20,Delhi,Mango,2292.00
16-Apr-20,Delhi,Mango,4625.00
16-Apr-20,Delhi,Mango,6611.00
16-Apr-20,Delhi,Mango,2292.00
30-Sep-19,Delhi,Mango,8750.00
28-Sep-19,Delhi,Mango,10000.00
27-Sep-19,Delhi,Mango,11250.00
26-Sep-19,Delhi,Mango,11250.00
25-Sep-19,Delhi,Mango,11250.00
24-Sep-19,Delhi,Mango,10000.00
23-Sep-19,Delhi,Mango,10000.00
21-Sep-19,Delhi,Mango,8750.00
20-Sep-19,Delhi,Mango,8750.00
19-Sep-19,Delhi,Mango,10000.00
18-Sep-19,Delhi,Mango,10000.00
17-Sep-19,Delhi,Mango,10000.00
16-Sep-19,Delhi,Mango,9375.00
14-Sep-19,Delhi,Mango,7500.00
14-Sep-19,Delhi,Mango,9375.00
13-Sep-19,Delhi,Mango,7500.00
13-Sep-19,Delhi,Mango,9375.00
12-Sep-19,Delhi,Mango,7500.00
12-Sep-19,Delhi,Mango,9375.00
11-Sep-19,Delhi,Mango,7500.00
11-Sep-19,Delhi,Mango,9375.00
10-Sep-19,Delhi,Mango,7500.00
10-Sep-19,Delhi,Mango,11250.00
09-Sep-19,Delhi,Mango,7500.00
09-Sep-19,Delhi,Mango,11250.00
07-Sep-19,Delhi,Mango,7500.00
07-Sep-19,Delhi,Mango,11250.00
06-Sep-19,Delhi,Mango,2833.00
06-Sep-19,Delhi,Mango,4750.00
05-Sep-19,Delhi,Mango,2833.00
05-Sep-19,Delhi,Mango,2850.00
04-Sep-19,Delhi,Mango,2833.00
04-Sep-19,Delhi,Mango,2850.00
03-Sep-19,Delhi,Mango,4000.00
03-Sep-19,Delhi,Mango,2850.00
31-Aug-19,Delhi,Mango,2833.00
31-Aug-19,Delhi,Mango,2850.00
30-Aug-19,Delhi,Mango,2833.00
30-Aug-19,Delhi,Mango,2850.00
29-Aug-19,Delhi,Mango,2583.00
29-Aug-19,Delhi,Mango,2850.00
28-Aug-19,Delhi,Mango,2583.00
28-Aug-19,Delhi,Mango,2850.00
27-Aug-19,Delhi,Mango,2850.00
26-Aug-19,Delhi,Mango,2583.00
26-Aug-19,Delhi,Mango,2850.00
24-Aug-19,Delhi,Mango,2583.00
24-Aug-19,Delhi,Mango,3125.00
24-Aug-19,Delhi,Mango,2850.00
23-Aug-19,Delhi,Mango,2583.00
23-Aug-19,Delhi,Mango,3125.00
23-Aug-19,Delhi,Mango,2850.00
22-Aug-19,Delhi,Mango,2583.00
22-Aug-19,Delhi,Mango,3125.00
22-Aug-19,Delhi,Mango,2850.00
21-Aug-19,Delhi,Mango,2583.00
21-Aug-19,Delhi,Mango,3125.00
21-Aug-19,Delhi,Mango,2850.00
20-Aug-19,Delhi,Mango,2583.00
20-Aug-19,Delhi,Mango,3350.00
20-Aug-19,Delhi,Mango,2850.00
19-Aug-19,Delhi,Mango,2583.00
19-Aug-19,Delhi,Mango,3100.00
19-Aug-19,Delhi,Mango,2600.00
17-Aug-19,Delhi,Mango,2583.00
17-Aug-19,Delhi,Mango,2740.00
17-Aug-19,Delhi,Mango,3000.00
16-Aug-19,Delhi,Mango,2583.00
16-Aug-19,Delhi,Mango,2740.00
16-Aug-19,Delhi,Mango,3000.00
